고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,본번,부번,건축물대장고유번호,기준년도,기준월,동코드,동명,토지대장면적,산정대지면적,건물전체연면적,건물산정연면적,주택가격,표준지여부,데이터기준일자
2826010100100030000,2826010100,인천광역시 서구 백석동,1,일반,3,0,2826010100100030000,2020,01,0,0,422,422,262.77,262.77,351000000,N,2020-04-29
2826010100100060000,2826010100,인천광역시 서구 백석동,1,일반,6,0,2826010100100060000,2020,01,0,0,330,330,179.65,179.65,306000000,N,2020-04-29
2826010100100160000,2826010100,인천광역시 서구 백석동,1,일반,16,2,2826010100100160000,2020,01,1,0,165,165,78.96,78.96,184000000,N,2020-04-29
2826010100100180000,2826010100,인천광역시 서구 백석동,1,일반,18,2,2826010100100180000,2020,01,0,0,702,702,203.67,203.67,571000000,N,2020-04-29
2826010100100190000,2826010100,인천광역시 서구 백석동,1,일반,19,13,2826010100100190000,2020,01,0,0,330,129.53,298.26,117.06,170000000,N,2020-04-29
2826010100100210000,2826010100,인천광역시 서구 백석동,1,일반,21,0,2826010100100210000,2020,01,1,0,361,148.15,77.69,77.69,98000000,N,2020-04-29
2826010100100210000,2826010100,인천광역시 서구 백석동,1,일반,21,1,2826010100100210000,2020,01,1,0,586,295.05,197.71,197.71,206000000,N,2020-04-29
2826010100100220000,2826010100,인천광역시 서구 백석동,1,일반,22,5,2826010100100220000,2020,01,0,0,590,590,95.85,95.85,400000000,N,2020-04-29
2826010100100380000,2826010100,인천광역시 서구 백석동,1,일반,38,4,2826010100100380000,2020,01,0,0,1323,206.17,118.76,41.23,160000000,N,2020-04-29
2826010100102090000,2826010100,인천광역시 서구 백석동,1,일반,209,6,2826010100102090000,2020,01,0,0,1536,960,96,96,763000000,N,2020-04-29
2826010200100030000,2826010200,인천광역시 서구 시천동,1,일반,3,4,2826010200100030000,2020,01,0,0,713,252.69,282,99.93,150000000,N,2020-04-29
2826010200100030000,2826010200,인천광역시 서구 시천동,1,일반,3,8,2826010200100030000,2020,01,0,0,1058,1058,99.27,99.27,585000000,N,2020-04-29
2826010200100040000,2826010200,인천광역시 서구 시천동,1,일반,4,1,2826010200100040000,2020,01,1,0,1033,1033,131.87,131.87,640000000,N,2020-04-29
2826010200100040000,2826010200,인천광역시 서구 시천동,1,일반,4,4,2826010200100040000,2020,01,0,0,277,277,138.86,138.86,160000000,N,2020-04-29
2826010200100250000,2826010200,인천광역시 서구 시천동,1,일반,25,0,2826010200100250000,2020,01,0,0,330,330,165.12,165.12,192000000,N,2020-04-29
2826010200100260000,2826010200,인천광역시 서구 시천동,1,일반,26,2,2826010200100260000,2020,01,0,0,635,261.43,247.32,101.82,155000000,N,2020-04-29
2826010200100270000,2826010200,인천광역시 서구 시천동,1,일반,27,0,2826010200100270000,2020,01,0,0,680,166.12,408.75,99.87,82400000,N,2020-04-29
2826010200100290000,2826010200,인천광역시 서구 시천동,1,일반,29,1,2826010200100290000,2020,01,0,0,1086,273.02,395.42,99.42,174000000,N,2020-04-29
2826010200100390000,2826010200,인천광역시 서구 시천동,1,일반,39,0,2826010200100390000,2020,01,0,0,484,321.57,196.68,130.68,214000000,N,2020-04-29
2826010200100900000,2826010200,인천광역시 서구 시천동,1,일반,90,2,2826010200100900000,2020,01,1,0,420,420,29.75,29.75,241000000,N,2020-04-29
2826010200100920000,2826010200,인천광역시 서구 시천동,1,일반,92,1,2826010200100920000,2020,01,0,0,1355,1414,217.73,217.73,880000000,N,2020-04-29
2826010200100970000,2826010200,인천광역시 서구 시천동,1,일반,97,2,2826010200100970000,2020,01,1,0,979,979,99.9,99.9,552000000,N,2020-04-29
2826010200100990000,2826010200,인천광역시 서구 시천동,1,일반,99,1,2826010200100990000,2020,01,1,0,2724,83,50,50,2930000,N,2020-04-29
2826010200101370000,2826010200,인천광역시 서구 시천동,1,일반,137,2,2826010200101370000,2020,01,0,0,579,579,75.78,75.78,340000000,N,2020-04-29
